ID,Name,Brand,Price,Category,Description,Picture Path 1,Image Preview 1 (Google Sheets),Picture Path 2,Image Preview 2 (Google Sheets),Picture Path 3,Image Preview 3 (Google Sheets),Colors,Sizes
1,Midnight Elegance Abaya (191036),Reverie,1550,Abayas,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_191036.jpg,=IMAGE("https://nafshe.com/images/products/20260506_191036.jpg"),/images/products/20260506_191100.jpg,=IMAGE("https://nafshe.com/images/products/20260506_191100.jpg"),/images/products/20260506_192041.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192041.jpg"),Midnight | Black,XS | S | M | L | XL
2,Satin Evening Gown (192055),Luxe,2130,Formal,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_192055.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192055.jpg"),/images/products/20260506_192254.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192254.jpg"),/images/products/20260506_192309.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192309.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
3,Cotton Lounge Set (192328),Nafshe,2000,Casual,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_192328.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192328.jpg"),/images/products/20260506_192440.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192440.jpg"),/images/products/20260506_192613.jpg,=IMAGE("https://nafshe.com/images/products/20260506_192613.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
4,Gold Loop Brooch (193502),Reverie,1210,Accessories,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_193502.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193502.jpg"),/images/products/20260506_193635.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193635.jpg"),/images/products/20260506_193655.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193655.jpg"),Midnight | Black,XS | S | M | L | XL
5,Limited Edition Kimono (193834),Luxe,2260,Limited,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_193834.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193834.jpg"),/images/products/20260506_193903.jpg,=IMAGE("https://nafshe.com/images/products/20260506_193903.jpg"),/images/products/20260506_194006.jpg,=IMAGE("https://nafshe.com/images/products/20260506_194006.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
6,Gold Thread Abaya (194150),Nafshe,1220,Abayas,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_194150.jpg,=IMAGE("https://nafshe.com/images/products/20260506_194150.jpg"),/images/products/20260506_195621.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195621.jpg"),/images/products/20260506_195628.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195628.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
7,Satin Evening Gown (195643),Reverie,1400,Formal,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_195643.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195643.jpg"),/images/products/20260506_195932.jpg,=IMAGE("https://nafshe.com/images/products/20260506_195932.jpg"),/images/products/20260506_200035.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200035.jpg"),Midnight | Black,XS | S | M | L | XL
8,Cotton Lounge Set (200221),Luxe,2390,Casual,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_200221.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200221.jpg"),/images/products/20260506_200235.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200235.jpg"),/images/products/20260506_200327.jpg,=IMAGE("https://nafshe.com/images/products/20260506_200327.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
9,Gold Loop Brooch (201858),Nafshe,2220,Accessories,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_201858.jpg,=IMAGE("https://nafshe.com/images/products/20260506_201858.jpg"),/images/products/20260506_201914.jpg,=IMAGE("https://nafshe.com/images/products/20260506_201914.jpg"),/images/products/20260506_202107.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202107.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
10,Collector Gold Thread Abaya (202120),Reverie,1720,Limited,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_202120.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202120.jpg"),/images/products/20260506_202359_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202359_1.jpg"),/images/products/20260506_202426_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202426_1.jpg"),Midnight | Black,XS | S | M | L | XL
11,Classic Black Abaya (202644(0)),Luxe,1020,Abayas,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_202644(0)_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202644(0)_1.jpg"),/images/products/20260506_202644_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202644_1.jpg"),/images/products/20260506_202824_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202824_1.jpg"),Midnight | Black | Emerald,XS | S | M | L | XL
12,Satin Evening Gown (202834),Nafshe,1390,Formal,Meticulously crafted luxury modest wear. Includes multiple styling options and premium fabric selection. Highlighted by our signature stitching and tailored details.,/images/products/20260506_202834_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202834_1.jpg"),/images/products/20260506_202847_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202847_1.jpg"),/images/products/20260506_202855_1.jpg,=IMAGE("https://nafshe.com/images/products/20260506_202855_1.jpg"),Midnight | Black | Emerald | Ivory,XS | S | M | L | XL
13,Louis Vuitton Monogram Leather Tote,Louis Vuitton,22400,bags,Exquisite high-fashion couture piece from Louis Vuitton. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0341 (2).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0341 (2).jpg"),/images/products/IMG_0342.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0342.jpg"),/images/products/IMG_0346.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0346.jpg"),Gold | Silver,One Size
14,Valentino Velvet Halter Gown,Valentino,19800,dresses,Exquisite high-fashion couture piece from Valentino. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0347 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0347 (1).jpg"),/images/products/IMG_0352.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0352.jpg"),/images/products/IMG_0353.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0353.jpg"),Gold | Silver | Black,One Size
15,Dior Classic Slingbacks,Dior,22100,shoes,Exquisite high-fashion couture piece from Dior. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0354.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0354.jpg"),/images/products/IMG_0355.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0355.jpg"),/images/products/IMG_0356.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0356.jpg"),Gold | Silver | Black | Brown,36 | 37 | 38 | 39 | 40
16,Chanel Pearl Drop Necklace,Chanel,13900,jewelry,Exquisite high-fashion couture piece from Chanel. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0357.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0357.jpg"),/images/products/IMG_0358.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0358.jpg"),/images/products/IMG_0359.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0359.jpg"),Gold | Silver,One Size
17,Prada Oversized Cat-Eye Frames,Prada,42400,sunglasses,Exquisite high-fashion couture piece from Prada. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0360.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0360.jpg"),/images/products/IMG_0361.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0361.jpg"),/images/products/IMG_0363.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0363.jpg"),Gold | Silver | Black,One Size
18,Hermès Sapphire Dial Watch,Hermès,34800,watches,Exquisite high-fashion couture piece from Hermès. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0364.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0364.jpg"),/images/products/IMG_0365.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0365.jpg"),/images/products/IMG_0366.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0366.jpg"),Gold | Silver | Black | Brown,One Size
19,Gucci Tailored Linen Blazer,Gucci,39000,tops,Exquisite high-fashion couture piece from Gucci. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0369.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0369.jpg"),/images/products/IMG_0370.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0370.jpg"),/images/products/IMG_0371.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0371.jpg"),Gold | Silver,One Size
20,Balenciaga Matelasse Chain Bag,Balenciaga,35600,bags,Exquisite high-fashion couture piece from Balenciaga. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0372.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0372.jpg"),/images/products/IMG_0373.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0373.jpg"),/images/products/IMG_0376.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0376.jpg"),Gold | Silver | Black,One Size
21,Louis Vuitton Pleated Satin Dress,Louis Vuitton,24000,dresses,Exquisite high-fashion couture piece from Louis Vuitton. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0377.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0377.jpg"),/images/products/IMG_0379.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0379.jpg"),/images/products/IMG_0380 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0380 (1).jpg"),Gold | Silver | Black | Brown,One Size
22,Valentino Leather Ankle Boots,Valentino,41300,shoes,Exquisite high-fashion couture piece from Valentino. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0380.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0380.jpg"),/images/products/IMG_0381.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0381.jpg"),/images/products/IMG_0383.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0383.jpg"),Gold | Silver,36 | 37 | 38 | 39 | 40
23,Dior 18k Gold Link Bracelet,Dior,38100,jewelry,Exquisite high-fashion couture piece from Dior. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0384.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0384.jpg"),/images/products/IMG_0387.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0387.jpg"),/images/products/IMG_0388.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0388.jpg"),Gold | Silver | Black,One Size
24,Chanel Square Acetate Sunglasses,Chanel,26700,sunglasses,Exquisite high-fashion couture piece from Chanel. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0389.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0389.jpg"),/images/products/IMG_0391.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0391.jpg"),/images/products/IMG_0392.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0392.jpg"),Gold | Silver | Black | Brown,One Size
25,Prada Automatic Leather Timepiece,Prada,47400,watches,Exquisite high-fashion couture piece from Prada. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0393.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0393.jpg"),/images/products/IMG_0394.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0394.jpg"),/images/products/IMG_0395.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0395.jpg"),Gold | Silver,One Size
26,Hermès Embroidered Silk Shirt,Hermès,36300,tops,Exquisite high-fashion couture piece from Hermès. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0398.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0398.jpg"),/images/products/IMG_0399.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0399.jpg"),/images/products/IMG_0401.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0401.jpg"),Gold | Silver | Black,One Size
27,Gucci Epsom Leather Handbag,Gucci,13200,bags,Exquisite high-fashion couture piece from Gucci. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0402.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0402.jpg"),/images/products/IMG_0403.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0403.jpg"),/images/products/IMG_0405.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0405.jpg"),Gold | Silver | Black | Brown,One Size
28,Balenciaga Silk Evening Dress,Balenciaga,12200,dresses,Exquisite high-fashion couture piece from Balenciaga. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0408.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0408.jpg"),/images/products/IMG_0409.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0409.jpg"),/images/products/IMG_0410.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0410.jpg"),Gold | Silver,One Size
29,Louis Vuitton Floral Lace Pumps,Louis Vuitton,10500,shoes,Exquisite high-fashion couture piece from Louis Vuitton. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0411.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0411.jpg"),/images/products/IMG_0412.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0412.jpg"),/images/products/IMG_0415.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0415.jpg"),Gold | Silver | Black,36 | 37 | 38 | 39 | 40
30,Valentino Serpenti Gold Ring,Valentino,20900,jewelry,Exquisite high-fashion couture piece from Valentino. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0417 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0417 (1).jpg"),/images/products/IMG_0419 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0419 (1).jpg"),/images/products/IMG_0420.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0420.jpg"),Gold | Silver | Black | Brown,One Size
31,Dior Signature Logo Frames,Dior,22400,sunglasses,Exquisite high-fashion couture piece from Dior. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0421.jpg,=IMAGE("https://nafshe.com/images/products/IMG_0421.jpg"),/images/products/IMG_0422 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0422 (1).jpg"),/images/products/IMG_0423 (2).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0423 (2).jpg"),Gold | Silver,One Size
32,Chanel Diamond Bezel Watch,Chanel,22200,watches,Exquisite high-fashion couture piece from Chanel. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0425 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0425 (1).jpg"),/images/products/IMG_0426 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0426 (1).jpg"),/images/products/IMG_0427 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0427 (1).jpg"),Gold | Silver | Black,One Size
33,Prada Draped Silk Blouse,Prada,47800,tops,Exquisite high-fashion couture piece from Prada. Features premium materials and expert craftsmanship designed for red carpet elegance and style statement.,/images/products/IMG_0432 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0432 (1).jpg"),/images/products/IMG_0434 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0434 (1).jpg"),/images/products/IMG_0435 (1).jpg,=IMAGE("https://nafshe.com/images/products/IMG_0435 (1).jpg"),Gold | Silver | Black | Brown,One Size